key,description,type
Efficacy3,"When I am with others I can follow the rules (0=not at all confident, 10=absolutely confident)",int
Efficacy4,"When I am with others I can be assertive (0=not at all confident, 10=absolutely confident)",int
Efficacy5,"When I am with others I can hide my thoughts and feelings (0=not at all confident, 10=absolutely confident)",int
Efficacy6,"When I am with others I can fit in (0=not at all confident, 10=absolutely confident)",int
Efficacy7,"When I am with others I can keep the upper hand (0=not at all confident, 10=absolutely confident)",int
Efficacy8,"When I am with others I can avoid getting into arguments (0=not at all confident, 10=absolutely confident)",int
Efficacy9,"When I am with others I can smooth over any difficulties (0=not at all confident, 10=absolutely confident)",int
Efficacy10,"When I am with others I can be cold and unfriendly when I want to (0=not at all confident, 10=absolutely confident)",int
Efficacy11,"When I am with others I can get along with them (0=not at all confident, 10=absolutely confident)",int
Efficacy12,"When I am with others I can speak up when I have something to say (0=not at all confident, 10=absolutely confident)",int
Efficacy13,"When I am with others I can be submissive (0=not at all confident, 10=absolutely confident)",int
Efficacy14,"When I am with others I can understand their feelings (0=not at all confident, 10=absolutely confident)",int
Efficacy15,"When I am with others I can win any arguments or competitions (0=not at all confident, 10=absolutely confident)",int
Efficacy16,"When I am with others I can be a follower (0=not at all confident, 10=absolutely confident)",int
Efficacy17,"When I am with others I can get them to listen to what I have to say (0=not at all confident, 10=absolutely confident)",int
Efficacy18,"When I am with others I can get them to leave me alone (0=not at all confident, 10=absolutely confident)",int
Efficacy19,"When I am with others I can be nice (0=not at all confident, 10=absolutely confident)",int
Efficacy20,"When I am with others I can take charge (0=not at all confident, 10=absolutely confident)",int
Efficacy21,"When I am with others I can disappear into the background when I want (0=not at all confident, 10=absolutely confident)",int
Efficacy22,"When I am with others I can soothe hurt feelings (0=not at all confident, 10=absolutely confident)",int
Efficacy23,"When I am with others I can be aggressive if I need to (0=not at all confident, 10=absolutely confident)",int
Efficacy24,"When I am with others I can avoid making them angry (0=not at all confident, 10=absolutely confident)",int
Efficacy25,"When I am with others I can be a leader (0=not at all confident, 10=absolutely confident)",int
Efficacy26,"When I am with others I can be cruel when the situation calls for it (0=not at all confident, 10=absolutely confident)",int
Efficacy27,"When I am with others I can be giving (0=not at all confident, 10=absolutely confident)",int
Efficacy28,"When I am with others I can be forceful (0=not at all confident, 10=absolutely confident)",int
Efficacy29,"When I am with others I can be quiet (0=not at all confident, 10=absolutely confident)",int
Efficacy30,"When I am with others I can be helpful (0=not at all confident, 10=absolutely confident)",int
Efficacy31,"When I am with others I can tell them when I am annoyed (0=not at all confident, 10=absolutely confident)",int
Efficacy32,"When I am with others I can let others take charge (0=not at all confident, 10=absolutely confident)",int
HelpYou,"Imagine the unfortunate scenario that you become seriously ill. The doctors tell you that you don't have long to live, most likely a year at most. Your illness might be cured if you undergo proper treatment, however the doctors cannot tell how likely this effort is to succeed. But if you choose to pursue treatment, the longer you have treatment the more severe your side effects will be, including extreme pain, nausea, and fatigue. You also have the option instead to be put on comfort care, where the symptoms of your illness will be taken care of. The more you pursue comfort care, the less effective the treatment will be.

How would you want the doctors to help you if the chance of success of the new treatment is unknown? (0= maximize comfort care, 100= maximize treatment)",int
HelpChild,"Imagine the unfortunate scenario that your child becomes seriously ill. (If you don't have a child, imagine that you did.) The doctors tell you that your child doesn't have long to live, most likely a year at most. Their illness might be cured if they undergo proper treatment, however the doctors cannot tell how likely this effort is to succeed. But if you choose to pursue treatment for your child, the longer they have treatment the more severe their side effects will be, including extreme pain, nausea, and fatigue. You also have the option instead to put them on comfort care, where the symptoms of their illness will be taken care of. The more you pursue comfort care, the less effective the treatment will be.



How would you want the doctors to help your child if the chance of success of the new treatment is unknown? (0= maximize comfort care, 100= maximize treatment)",int
